Number of train steps total,Number of env steps total,Train Time (s),Q1 Predictions Std,Total Train Time (s),Log Pis Mean,AverageTrainReturn_all_train_tasks,Q2 Predictions Mean,Z variance eval,Policy mu Std,Policy mu Mean,KL Loss,Q1 Predictions Min,Policy mu Min,Q2 Loss,Z mean eval,Policy log std Max,Policy log std Mean,Q1 Predictions Mean,Number of rollouts total,Policy mu Max,Q1 Loss,Q1 Predictions Max,AverageReturn_all_train_tasks,Epoch Time (s),Q2 Predictions Max,Epoch,Q2 Predictions Min,Log Pis Max,Policy log std Std,AverageReturn_all_test_tasks,Sample Time (s),Z mean train,(Previous) Eval Time (s),Log Pis Std,Policy log std Min,Z variance train,Q2 Predictions Std,Log Pis Min,Policy Loss,KL Divergence
200000,550000,236.64085516240448,757.33167,17761.190804190934,7.997667,-494.58563820589796,-1591.3922,0.012628014,1.5830827,-0.19212827,170.6826,-5278.346,-5.8416696,2847.543,0.90644133,0.32856882,-0.7480575,-1592.3444,0,5.3694615,2753.1658,-137.63345,-585.4273487994761,333.88039633911103,-141.81046,49,-5257.7563,41.012444,0.2165173,-562.4371299790522,7.594424827024341,0.7410127,89.64511634968221,5.51296,-1.921742,0.0061977576,758.91675,-7.5467987,1589.2792,170.6826
204000,555000,222.91452067438513,803.8199,18081.37562196143,7.773317,-468.37577236284676,-1629.3208,0.009325256,1.5893141,-0.21231084,181.26695,-6987.8604,-6.2525563,3297.5798,0.62009704,0.2511195,-0.72119987,-1621.508,0,7.621827,3059.9766,-217.40517,-533.1282411195135,320.84787867590785,-239.46155,50,-7028.824,45.769836,0.21120681,-588.0657087125779,7.619304399006069,2.083791,90.31405360251665,5.953315,-1.7668791,0.002813295,801.3992,-8.792044,1624.4409,181.26695
208000,560000,224.25618403218687,1036.6165,18402.890701301396,8.883994,-520.342904806777,-1911.5793,0.0028344367,1.6957481,-0.06433149,183.20247,-7757.3813,-6.7800045,3250.8162,1.0515089,0.30544877,-0.71817255,-1906.4186,0,7.122418,3147.6711,-388.06107,-566.2935620079016,321.496014081873,-360.46634,51,-7742.6553,36.26116,0.2195328,-559.6095710984431,7.5884030517190695,0.8626498,89.65142699796706,5.6079936,-1.8040292,0.011536414,1038.3292,-7.2536187,1907.5729,183.20247
212000,565000,230.78336043376476,1076.0809,18731.9308794979,8.405822,-495.4432239789836,-2078.8005,0.009662843,1.6587409,-0.16158307,193.59532,-6475.539,-6.550112,3596.8503,0.88450944,0.23079956,-0.7118838,-2076.6816,0,6.7689466,3608.447,-431.28458,-595.0524733054242,328.05899413116276,-406.2566,52,-6453.492,38.40628,0.19480988,-603.5884011550721,7.604888586327434,1.3375771,89.67074511107057,6.0312514,-1.6419848,0.0030154574,1074.9176,-7.6687355,2075.6414,193.59532
216000,570000,222.30920161958784,844.51,19051.548695735633,8.053675,-497.06849809663896,-1696.3414,0.0030167722,1.6272196,-0.17822924,160.5526,-7388.79,-6.327089,2640.8308,0.93862736,0.5164584,-0.70795035,-1704.968,0,5.9765778,2393.0752,-313.12854,-567.439243227844,320.6162329223007,-297.32996,53,-7250.774,34.454018,0.18455139,-633.1530918102212,7.654823710210621,1.2242978,90.65220759250224,5.504199,-1.7097766,0.01331905,843.3357,-7.9587126,1698.069,160.5526
220000,575000,222.3643685169518,946.78125,19371.91265608743,8.337639,-489.38226099051644,-1892.4226,0.0055979723,1.6674888,-0.107446626,185.63495,-6403.39,-6.740179,3589.5134,0.98918784,0.43122196,-0.7015561,-1910.3652,0,10.175245,3154.2341,-232.26973,-568.6447651919605,319.678697864525,-222.29579,54,-6396.989,40.982098,0.18921818,-613.6923155251532,7.660069587640464,1.9554722,89.65425975993276,5.994081,-1.6632481,0.0057549262,945.9847,-10.837,1901.4775,185.63495
224000,580000,222.70901471562684,949.82825,19692.564636031166,8.191723,-557.6736840568224,-1795.15,0.0032913587,1.6489393,-0.086017534,192.49298,-7023.26,-6.645284,3432.5222,0.8025135,0.39305377,-0.70730925,-1792.2449,0,6.6261935,3188.7715,-390.86298,-677.4997069339933,320.67202272545546,-356.6485,55,-7001.527,39.262367,0.20294845,-565.3467617066184,7.62297697737813,1.5181285,90.3400310324505,5.816977,-1.6941721,0.007880047,949.39276,-6.5062923,1791.8324,192.49298
228000,585000,222.2426275666803,813.34985,20012.03593576234,8.053166,-459.3010597503015,-1720.2904,0.002259745,1.6021675,0.00037576258,192.83945,-6388.5835,-5.832952,2898.9146,0.9239377,0.26959074,-0.7439381,-1723.6976,0,5.9144835,2797.0642,-323.38312,-521.3317637247068,320.19587135035545,-321.61554,56,-6523.081,33.314182,0.20041084,-621.0590864789763,7.633000793866813,2.3498044,90.32024298980832,5.530083,-1.6988152,0.0038555183,813.9922,-6.5003195,1719.5575,192.83945
232000,590000,244.0542922830209,821.76953,20353.99462882988,8.440433,-525.2936944569726,-1755.0453,0.0041616466,1.6290443,0.15522923,179.33089,-5748.9478,-6.0515237,2922.543,0.9350914,0.009631276,-0.7439208,-1758.1973,0,6.1030884,2816.0117,-521.091,-599.3337440337978,341.2415476106107,-506.87274,57,-5721.503,41.24467,0.21511593,-608.8497473751033,7.59124150313437,1.072055,89.59601382445544,5.858344,-1.8669479,0.006066347,820.75507,-9.147509,1754.109,179.33089
236000,595000,230.0419837590307,729.47974,20681.471929966472,7.361964,-431.4833882155493,-1484.2318,0.002267113,1.5514145,-0.19004992,170.80493,-5572.4536,-7.421033,2365.001,1.0741034,0.49220967,-0.727821,-1482.7756,0,5.831176,2182.7397,-214.23723,-496.6475298663402,327.9557507010177,-231.41464,58,-5529.0063,39.767334,0.20177032,-564.2216642865111,7.600114276632667,1.0784239,90.31365266535431,5.447703,-1.7551227,0.008813628,728.95154,-8.386808,1481.5016,170.80493
240000,600000,231.2583865178749,895.6515,21010.110483949073,8.311754,-530.3661727175921,-1706.4805,0.0025751751,1.6430248,-0.14223842,176.8779,-6313.3154,-8.433318,3368.6372,0.9621688,0.04823029,-0.71953595,-1693.5378,0,5.854557,2958.1455,-377.03903,-580.6105888474043,328.7232856573537,-350.62372,59,-6207.254,34.762817,0.20069961,-604.0166585625755,7.629307562485337,1.2225405,89.83559157699347,5.6096315,-1.7858908,0.0061374996,894.15204,-9.147038,1699.6627,176.8779
244000,605000,221.95900916773826,869.1399,21329.605597646907,8.050783,-541.1400631532318,-1717.0273,0.0055432264,1.6257627,0.0052498877,179.72626,-6867.3994,-6.635973,3067.5632,0.767655,0.5317714,-0.7261098,-1719.8721,0,6.5831475,2856.4363,-248.38008,-583.911259622236,319.3424012204632,-231.84857,60,-6938.047,58.689266,0.19790272,-572.2416542643862,7.632096863351762,1.6132424,89.7512951893732,5.7469068,-1.8322188,0.0045920806,869.8163,-8.796661,1716.1067,179.72626
248000,610000,222.43783615157008,886.7877,21650.531591794454,7.4249954,-537.3891490477812,-1829.3727,0.003062201,1.5788553,-0.19473122,171.23532,-7525.455,-8.02908,3775.1453,0.9893379,0.11435342,-0.7019542,-1826.9183,0,7.6067877,3542.9978,-529.9485,-633.8993247522719,319.97941677086055,-537.98926,61,-7524.129,42.407703,0.19009681,-601.1140762457164,7.637413051910698,2.1081953,89.90416756737977,5.7399173,-1.855792,0.0037541701,887.72723,-9.701656,1826.2953,171.23532
252000,615000,224.75353213213384,754.0175,21973.04292163998,7.253825,-539.2194560924702,-1772.7258,0.0042688744,1.5765773,-0.17666568,163.10692,-7023.289,-6.854932,2265.0674,1.0913827,0.38584447,-0.6795046,-1773.2034,0,7.2067175,2231.4353,-250.63591,-635.6681663817053,323.2520293528214,-312.45654,62,-6962.6655,34.47284,0.20076527,-581.5373591604034,7.647310398519039,1.0639118,90.85118682216853,5.094157,-1.9068402,0.0034414928,753.04285,-10.54891,1772.0035,163.10692
256000,620000,234.17834887839854,881.6161,22304.75999683421,8.171771,-565.1804069367568,-1991.3093,0.0055336105,1.6461518,-0.14733437,198.48006,-6643.9995,-6.747227,3938.664,1.0692358,0.56520915,-0.70295894,-2007.1179,0,6.6143475,3327.8513,-597.1642,-624.3530453940142,331.9404727285728,-552.08875,63,-6660.3306,36.648598,0.1876007,-549.9022913655955,7.651201902888715,0.9080037,90.11092194728553,5.953969,-1.7296554,0.004682696,882.31165,-7.022208,1999.429,198.48006
260000,625000,221.98013379890472,768.0731,22624.75954494998,7.58439,-506.14516647571224,-1780.1633,0.0034182412,1.5854391,0.04144083,181.9288,-5283.088,-5.9915915,3219.9824,0.92823774,0.028832793,-0.7260369,-1771.433,0,8.419036,2984.5002,-445.12152,-563.6641632214726,319.4753905115649,-458.7851,64,-5316.643,37.857395,0.22708027,-607.8348379260435,7.607382322661579,2.1288106,89.88787438999861,5.754627,-1.7596965,0.0030361093,766.2629,-6.660528,1773.4551,181.9288
264000,630000,235.10507462825626,799.963,22958.01800107211,7.962752,-460.6825014636057,-1801.8502,0.00890262,1.6269803,-0.05259003,168.61842,-6438.247,-6.459678,2890.6145,0.6238405,0.28353035,-0.6963333,-1798.566,0,6.8043165,2738.3064,-339.293,-528.383096012179,333.16067194007337,-347.2897,65,-6374.6064,39.239613,0.18109733,-622.4685581032348,7.6431935196742415,1.0540047,90.41240379214287,5.5746417,-1.6252601,0.011727683,799.77576,-8.977783,1798.081,168.61842
268000,635000,232.65210457798094,866.22906,23288.112592142075,7.4787683,-485.7264925236392,-1807.0707,0.0013822715,1.5742525,-0.007807481,172.02228,-6896.597,-6.204389,3090.7612,1.2481707,0.23107171,-0.7223366,-1808.7646,0,7.0329957,3056.0723,-413.8681,-538.973254273295,330.77062772680074,-438.5306,66,-6797.0596,40.83544,0.19308978,-609.8947585580532,7.60790291428566,1.549508,90.51062023453414,5.720511,-1.6637752,0.0059882165,865.1063,-7.830243,1806.4688,172.02228
272000,640000,236.97995323035866,810.6858,23622.629822348244,7.75207,-545.5338338198533,-1841.5276,0.0010802655,1.5914105,-0.1274148,168.22638,-6848.991,-7.9383993,3316.526,0.9916021,0.13853192,-0.71642005,-1833.4373,0,5.3670807,3061.1394,-533.1811,-619.25696043565,334.4662073254585,-549.89496,67,-6878.1826,34.05957,0.19535886,-579.9460879735186,7.650978570804,1.7931623,89.83527552429587,5.5019174,-1.7290249,0.004742326,810.474,-6.832594,1837.3544,168.22638
276000,645000,220.55997843388468,816.0402,23941.043594878167,7.5173273,-492.6658366923954,-1772.957,0.0012507964,1.5778214,-0.064355135,183.85625,-6926.416,-5.995466,2576.8887,1.6881326,0.23981357,-0.71465456,-1781.446,0,7.04216,2391.1733,-580.8415,-636.7245555772516,318.0854885345325,-565.10535,68,-6866.8906,48.00835,0.18250214,-596.6133547582905,7.638975123874843,1.3665911,89.88653497677296,5.0826735,-1.7698803,0.0026674368,816.1857,-7.430339,1776.8746,183.85625
280000,650000,221.65550632588565,863.2176,24260.39824940171,8.032133,-522.2448313756747,-1795.7526,0.0039761458,1.6067852,-0.15867928,180.09464,-7262.8,-8.628172,2795.7446,1.0640296,0.20397484,-0.7288611,-1787.7582,0,6.8526525,2775.4414,-331.7062,-599.1405006595488,319.7645896617323,-311.96622,69,-7302.772,44.799416,0.18722583,-612.0141576642861,7.893487744964659,0.7995293,90.215595590882,5.6778154,-1.7508734,0.002703758,862.33545,-7.0691485,1790.8676,180.09464
284000,655000,220.4022167408839,836.26654,24578.193392261863,7.37679,-511.4477023385228,-1849.0463,0.0048044836,1.5431476,-0.30719975,154.50085,-6012.6694,-7.053567,2761.302,0.5899954,0.35802996,-0.69582784,-1847.5364,0,6.3037224,2723.2395,-483.35785,-510.0995116285781,317.8386706681922,-474.5546,70,-5977.3647,34.51957,0.17239739,-617.9571839344177,7.6306190667673945,1.0485016,89.80583486054093,5.4449134,-1.9538095,0.004705153,836.2409,-8.156007,1847.663,154.50085
288000,660000,225.94952362030745,848.8976,24902.25776582025,7.888017,-460.4752658455463,-1899.2041,0.008968669,1.6084828,-0.1916566,205.52344,-7108.5493,-7.180843,3522.1978,0.7400703,0.508132,-0.71745026,-1917.2043,0,8.611098,3144.5452,-379.32416,-509.408561581391,323.3050025673583,-360.1088,71,-7157.9727,48.080925,0.19269255,-602.5553033196175,7.592656032182276,1.8292814,89.7628229148686,5.582366,-1.6963089,0.021752715,848.7601,-7.5532656,1910.4703,205.52344
292000,665000,221.30632799770683,756.5701,25220.826873543672,6.918634,-452.4345464168768,-1862.3425,0.0024944462,1.5630496,-0.057194967,180.04422,-7045.3247,-7.7494097,3323.4321,1.3007907,0.8688619,-0.6821316,-1874.1543,0,6.8697543,2986.1072,-493.87888,-543.5280074937265,319.4354010494426,-492.948,72,-7084.1304,40.776146,0.18588582,-555.3195676432416,7.606381822377443,0.85699284,90.52269122935832,5.786872,-1.75774,0.0029261135,755.83496,-8.63256,1868.1836,180.04422
296000,670000,220.88693288806826,745.7502,25539.48323438596,7.222838,-488.21212850723646,-1701.1293,0.005876803,1.5665127,-0.028068755,170.89574,-5860.808,-8.445024,2767.1362,0.9512569,-0.029721916,-0.68442297,-1687.9519,0,7.587156,2556.341,-633.227,-568.2377613497131,318.14060991443694,-620.7296,73,-5897.5156,40.21573,0.1863921,-568.1117467204318,7.596754379570484,1.8291557,89.6569226467982,5.5292387,-1.7836244,0.014653832,743.31866,-12.678303,1696.3014,170.89574
300000,675000,236.42579368501902,924.5324,25873.186045872048,7.5531282,-461.06380123931564,-1920.4524,0.0069658994,1.5750403,-0.26813728,192.16159,-7445.819,-7.4670515,2935.336,0.6032945,0.351421,-0.6970533,-1914.0098,0,5.9404106,2818.3152,-522.79626,-594.7639851666123,334.1957972701639,-560.0335,74,-7400.4907,34.188286,0.17993332,-600.0662284689289,7.5968833873048425,0.8760148,90.17312019784003,5.2572837,-1.5971849,0.008604972,924.53326,-7.2037106,1916.6666,192.16159
304000,680000,226.4195041731,751.772,26196.679453465156,7.288129,-512.7088109422149,-1942.0886,0.0020785597,1.5675892,-0.06625986,185.24603,-7054.27,-6.016068,3036.0598,0.9886816,0.063665986,-0.695468,-1933.695,0,6.043674,2889.4185,-637.4014,-576.8714765133611,323.7052047578618,-628.54443,75,-7027.4277,39.335083,0.17777582,-534.6779001330967,7.604932223446667,0.94711417,89.68076836131513,5.5964394,-1.5320876,0.0053660525,753.7961,-7.1607895,1936.4895,185.24603
308000,685000,222.47343156766146,763.8638,26516.128330091015,7.457535,-510.38125754160313,-1816.6013,0.0016117862,1.5739917,-0.31251323,182.32225,-7012.584,-6.9707065,2539.586,1.1149974,0.06951523,-0.6753496,-1811.8289,0,6.963177,2546.6958,-623.30566,-623.9050446684921,319.52561789844185,-614.3661,76,-6990.363,36.018295,0.18487631,-540.6814382422384,7.582981060259044,0.7603612,89.46920527052134,5.791862,-1.658709,0.005262088,765.0312,-11.808072,1813.3385,182.32225
312000,690000,226.82639121916145,733.9774,26841.08539536968,7.239404,-478.9931343818243,-1787.518,0.00065606454,1.5438645,-0.12034931,173.905,-5583.323,-5.9204674,2365.7615,1.0050436,0.056609154,-0.73018444,-1787.6891,0,6.7008724,2342.4768,-392.23267,-585.1332461726048,323.8475782144815,-459.62244,77,-5567.857,28.955753,0.18245694,-570.9494782755243,7.628160502761602,0.6686603,89.39302649255842,5.436711,-1.6679004,0.001036734,731.7908,-10.864498,1786.4163,173.905
316000,695000,230.11933101527393,822.93396,27169.247825457714,7.6576223,-552.5431938131751,-2085.8923,0.002944108,1.5696734,-0.389826,179.74231,-7153.714,-7.5914426,2682.4368,1.074312,0.31714243,-0.6892474,-2084.22,0,6.7648325,2636.5388,-667.59827,-646.5796497492702,328.28330853022635,-658.1596,78,-7202.682,44.39849,0.19300655,-572.4922611326691,7.660908379592001,0.96283686,90.50306913536042,6.100622,-1.6377635,0.0023319414,819.88306,-7.6960917,2083.9207,179.74231
320000,700000,221.48946924321353,693.6524,27489.070488525555,5.951907,-491.8057341367556,-1675.1848,0.0034255735,1.4693986,-0.00794856,147.94437,-5328.1226,-6.375306,2615.4526,0.5720139,0.02852112,-0.6841385,-1692.2188,0,5.8307524,2143.7107,-536.2604,-550.3962171162567,319.53262934368104,-509.78702,79,-5313.344,40.89271,0.17656186,-551.7715420106593,7.660451853647828,1.35669,90.38270824681967,5.1745315,-1.703577,0.0074162623,694.1088,-7.304971,1685.6631,147.94437
324000,705000,250.35155555326492,799.3082,27838.094938163646,8.115259,-513.9741060300936,-1877.8489,0.0039519803,1.6173601,-0.23368604,165.10774,-6396.9204,-6.357065,2828.8757,0.79523027,0.14567792,-0.693277,-1876.0707,0,7.038875,2721.5132,-498.8172,-595.3209761339275,348.70826765336096,-521.84125,80,-6349.152,36.626343,0.1834653,-589.760746169884,7.683560901321471,1.1635066,90.67315119877458,5.795888,-1.5329382,0.0102839125,799.45953,-8.373992,1874.4049,165.10774
328000,710000,237.52902573999017,776.8671,28174.458582961,6.8641996,-490.54117833636616,-1662.866,0.0068518682,1.563663,-0.043346852,171.17645,-6177.154,-7.0717955,2650.3044,1.3235731,0.23234308,-0.666345,-1661.72,0,7.282455,2665.315,-468.2934,-520.5696682478788,336.17849557474256,-469.6328,81,-6168.175,44.31874,0.18348454,-574.6360557440518,7.659461640752852,0.97775525,90.99000819399953,5.691993,-1.7255056,0.01550662,778.0561,-7.114368,1661.044,171.17645
332000,715000,240.8641580864787,686.9152,28513.400590837933,7.0973754,-531.1157669713638,-1789.4905,0.001455244,1.5642651,0.04822798,177.78491,-6770.6685,-7.4422207,2935.0,0.67266285,0.25230777,-0.68784034,-1797.3063,0,6.6475115,2869.3542,-425.92535,-566.0337310915932,339.72196989972144,-431.78714,82,-6797.2188,37.944977,0.18168335,-539.348354860311,7.682143645361066,1.544193,91.17566816788167,5.6360526,-1.6886572,0.0022826246,687.02997,-9.915792,1793.1328,177.78491
336000,720000,243.56397918146104,570.03125,28855.77624114696,7.365494,-434.9299180247493,-1545.443,0.0035411431,1.5764227,-0.018439148,156.68881,-5685.7437,-7.160251,1901.9586,0.66461074,-0.024086714,-0.69924986,-1560.4287,0,6.9112115,1813.8121,-265.0643,-516.3878777878001,341.6274363491684,-280.0225,83,-5655.89,50.349716,0.17919473,-549.9465501726103,7.667103452607989,0.8289343,90.3963537150994,5.849081,-1.7437482,0.0070367204,570.8977,-10.578461,1554.5726,156.68881
340000,725000,231.39380538649857,735.38916,29185.909240989015,6.5762315,-524.0967242145251,-1889.1449,0.0017372724,1.5217108,0.06383862,176.04672,-6997.075,-5.540204,2380.1816,1.0310968,0.08212292,-0.67852175,-1892.5076,0,7.6351423,2170.686,-622.94867,-591.5697561455601,330.20215537957847,-629.50745,84,-6852.51,38.288155,0.18012547,-580.9691719914598,7.663409922271967,1.215462,91.14494007080793,5.2208166,-1.6929297,0.005346717,734.42505,-8.04512,1889.5826,176.04672
344000,730000,253.39584399666637,833.2743,29537.19919495564,7.8601136,-483.32049764376046,-1716.7773,0.0022155126,1.6356598,-0.19505277,176.68318,-5106.214,-8.61604,3170.2117,0.92661256,0.5140629,-0.67214674,-1727.7502,0,6.2696342,3273.114,-480.21878,-572.5261178322138,352.15217462554574,-471.8271,85,-5213.627,36.75972,0.18928282,-554.6539088720758,7.68002672214061,1.0442905,91.07630390673876,6.179835,-1.7389584,0.0049530813,834.1455,-6.9822297,1721.5692,176.68318
348000,735000,243.41165110003203,757.41223,29878.972329051234,7.0378747,-532.2019099490831,-1865.0566,0.0039109294,1.5720948,0.03646666,192.92459,-6413.4346,-6.7525096,2587.9766,0.74426734,0.51824343,-0.6648882,-1877.5247,0,7.501456,2431.0657,-528.6054,-595.8525446229409,341.3168918918818,-506.71945,86,-6297.595,46.653076,0.17822462,-570.3694169032577,7.690667906776071,1.6551182,90.21457288507372,5.5714703,-1.6244718,0.011623282,755.93066,-8.297577,1871.3489,192.92459
352000,740000,243.52861065045,859.3355,30221.13788955193,7.3230696,-465.2501770581746,-1838.6605,0.0033617609,1.5755469,-0.25479406,167.62485,-7068.1416,-7.2808394,2651.0574,0.79816616,0.17640835,-0.6765155,-1833.6926,0,5.91163,2493.765,-572.36896,-578.8566517466734,341.8569143395871,-585.4956,87,-7217.593,38.87207,0.17515841,-581.6222980473316,7.656833599321544,0.6941183,90.67147008981556,5.6848707,-1.5760598,0.0047559477,860.94763,-8.298425,1835.2284,167.62485
356000,745000,238.21993482951075,610.8592,30557.239325795323,6.4659624,-470.6714236104286,-1608.3047,0.0027466472,1.4943789,-0.04137371,170.46661,-6775.1587,-5.3084803,2186.839,0.6212756,0.26400852,-0.68714494,-1619.5,0,5.578473,1930.1481,-651.2915,-520.9436713686271,336.8661588570103,-615.81067,88,-6844.9395,30.554,0.18420927,-603.351206319004,7.665630833245814,1.5894725,90.98059319425374,5.3261333,-1.6378862,0.007523393,610.55566,-11.13933,1614.9252,170.46661
360000,750000,245.5830411752686,783.19196,30902.155310777016,7.4872923,-505.2607272543178,-1748.8939,0.0064128875,1.5833033,-0.29222924,161.78465,-6401.7314,-7.745443,2841.974,1.1073233,0.099937975,-0.6753354,-1753.2561,0,6.302837,2630.97,-461.3524,-614.328399444919,343.4613713286817,-469.81796,89,-6441.1353,43.556564,0.1696907,-604.1410826883777,7.6618941416963935,1.049251,90.21643601171672,5.5526767,-1.593585,0.0042035775,782.4324,-7.7233257,1750.6223,161.78465
364000,755000,266.009565978311,771.49524,31267.050876640715,7.0551605,-497.6689346069646,-1909.7961,0.0035419136,1.5673194,-0.1945447,170.97447,-6708.2036,-6.80709,3057.959,0.6408176,0.35120308,-0.66047144,-1928.9629,0,6.488068,2406.4536,-609.7678,-602.9297325205441,365.3421443896368,-595.07275,90,-6727.725,40.870964,0.18680093,-586.4705880350219,7.660703609697521,1.50136,91.67187480162829,5.6267757,-1.7139982,0.025512999,771.38525,-12.590183,1922.4725,170.97447
368000,760000,223.4343250868842,825.37854,31588.531384732574,6.996048,-552.6377557222156,-1856.6348,0.0049839607,1.5341061,-0.20780405,161.52618,-7507.533,-11.125761,3118.7737,0.5798912,0.6403991,-0.69370013,-1858.971,0,7.7649617,3012.1838,-552.3463,-610.6471698092497,322.35851086489856,-557.8208,91,-7426.17,36.666107,0.18736123,-542.7108406266748,7.698491828516126,0.8755678,91.22569394949824,5.7779965,-1.7833629,0.0048409523,826.3121,-8.711324,1857.2645,161.52618
372000,765000,234.35968978796154,661.2546,31921.522479454987,6.2750134,-503.2628777716438,-1627.7036,0.0038913805,1.4815056,0.048215,163.46542,-6145.8794,-6.882842,1850.0126,1.1140658,-0.027987242,-0.6886628,-1624.5417,0,7.7754602,1808.5325,-538.61536,-572.9392786803994,332.37127198651433,-529.3141,92,-6167.7407,39.30497,0.17208779,-642.0803663806297,7.663364969193935,1.11469,90.34821722935885,5.4528937,-1.6078632,0.005044646,662.6547,-10.730463,1625.1198,163.46542
376000,770000,230.45517438091338,723.1312,32250.79357717093,6.8595185,-521.0766065669618,-1628.1125,0.002639316,1.5460733,-0.04100417,156.67831,-5576.9907,-6.030297,2123.0789,1.0498676,0.38025892,-0.6937885,-1640.1383,0,7.2418423,2047.3461,-403.35272,-667.7827407587462,329.0849292492494,-416.26837,93,-5542.768,45.56215,0.17747194,-575.5513219752303,7.661168264225125,0.6955789,90.9685866041109,5.576948,-1.7450137,0.0037666678,722.0138,-9.013562,1634.4282,156.67831
380000,775000,239.22920771874487,817.9091,32587.890548187308,7.1708565,-482.6855865233656,-1861.9535,0.004087603,1.5667262,-0.15137526,172.07063,-6656.2744,-6.909898,2595.4988,0.67185223,0.43201077,-0.6822195,-1866.3828,0,6.4796276,2477.3665,-609.03143,-516.7711320127286,338.03418980073184,-608.7432,94,-6614.5645,37.378258,0.1664658,-575.5380069598243,7.649438375607133,0.527682,91.15554370637983,5.7879663,-1.7218366,0.0067725084,818.8285,-9.019485,1863.1698,172.07063
384000,780000,240.78546711057425,783.08704,32926.72043731809,6.977803,-537.1707844518708,-1655.9094,0.0013769164,1.5575706,-0.032513425,183.71764,-6692.1675,-6.8869925,2562.902,1.1160605,0.26744926,-0.67184776,-1646.3734,0,6.7882338,2423.3682,-501.72238,-595.4265404118755,338.6567686088383,-475.63882,95,-6668.128,37.19641,0.18193577,-578.2327207225037,7.6526998383924365,0.9464016,90.21860165987164,5.4865346,-1.8117905,0.004864775,782.5269,-9.968054,1651.1809,183.71764
388000,785000,236.60984155349433,745.4678,33262.06915085204,6.883728,-529.2331212514172,-1675.9675,0.0016076776,1.5496022,0.045159638,172.06387,-6685.6055,-7.0811005,2296.7283,1.0145507,0.18513024,-0.67479146,-1660.8131,0,6.5103345,1972.36,-450.8063,-549.7908876331916,335.31294877268374,-463.85352,96,-6771.0835,33.317024,0.16778913,-592.4806695059191,8.310540524311364,1.5100834,90.39256669487804,5.6139746,-1.6313162,0.004301298,744.7819,-9.354438,1670.1373,172.06387
392000,790000,230.05247330479324,653.1277,33590.243233799,6.643056,-507.045884189968,-1760.7867,0.0019746365,1.4963434,-0.20495582,152.08392,-6071.0024,-6.027901,2159.7786,1.58179,0.24899673,-0.69430614,-1774.8002,0,8.181936,2117.7966,-402.19904,-552.6061157461835,328.1223038509488,-436.65594,97,-6007.35,41.12436,0.18054229,-519.6433481346053,7.640731074847281,1.0034457,90.42909947130829,5.478324,-1.6622118,0.0030969013,652.614,-6.775694,1769.2122,152.08392
396000,795000,235.0486508300528,644.60547,33923.277375223115,7.4939322,-589.7964264174144,-1821.1565,0.0019992534,1.5941591,-0.043682627,166.5603,-6768.9478,-8.1142845,2713.9685,0.5569265,0.31803322,-0.68834084,-1815.9226,0,6.4522142,2660.0208,-615.1558,-614.9504001598923,333.16016676463187,-686.01776,98,-6711.0903,40.30609,0.17108385,-585.3500412071148,7.6303139086812735,1.4568346,90.4812020258978,5.5736766,-1.8010377,0.03800308,644.6057,-14.239679,1818.4485,166.5603
400000,800000,230.60887682717294,684.15906,34252.17394361552,6.4878416,-507.6700415905968,-1686.6849,0.0057862885,1.512981,-0.17893067,179.38432,-5699.361,-7.343408,2326.3564,0.5859675,0.5741061,-0.6592345,-1697.8113,0,7.7091393,2160.377,-548.37,-571.2280566644014,328.63067864626646,-534.0802,99,-5619.057,45.090343,0.16257742,-576.8226428808606,7.6658977111801505,0.81512576,90.35590410791337,5.1520796,-1.6396313,0.010477865,683.84674,-8.048995,1693.6985,179.38432
